City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,upernavik,72.7868,-56.1549,-6.21,66,98,3.1,GL,1670195892
1,port blair,11.6667,92.75,28.02,83,40,3.6,IN,1670195893
2,nabire,-3.3667,135.4833,26.17,80,98,1.63,ID,1670195893
3,tuktoyaktuk,69.4541,-133.0374,-26.0,76,20,5.66,CA,1670195893
4,kapaa,22.0752,-159.319,28.18,70,40,5.66,US,1670195894
5,salalah,17.0151,54.0924,24.05,73,40,1.03,OM,1670195894
6,labuhan,-6.8844,112.2051,26.15,84,95,2.25,ID,1670195895
7,sorland,67.667,12.6934,6.92,88,100,11.45,NO,1670195895
8,rikitea,-23.1203,-134.9692,24.05,82,75,6.26,PF,1670195868
9,cabo san lucas,22.8909,-109.9124,30.61,57,0,0.0,MX,1670195896
10,hilo,19.7297,-155.09,26.45,70,75,3.09,US,1670195896
11,hasaki,35.7333,140.8333,8.22,75,100,9.77,JP,1670195897
12,guerrero negro,27.9769,-114.0611,19.62,77,100,5.83,MX,1670195897
13,khash,28.2211,61.2158,8.6,39,23,1.52,IR,1670195897
14,hobart,-42.8794,147.3294,12.37,95,75,8.75,AU,1670195703
15,san patricio,28.017,-97.5169,20.05,74,93,2.69,US,1670195898
16,tosya,41.0155,34.0401,5.45,75,55,0.69,TR,1670195898
17,puerto escondido,15.85,-97.0667,28.46,61,0,1.54,MX,1670195899
18,hambantota,6.1241,81.1185,24.43,87,100,2.26,LK,1670195899
19,mackay,-21.15,149.2,29.27,67,0,1.43,AU,1670195791
20,riyadh,24.6877,46.7219,17.08,36,52,3.66,SA,1670195889
21,fukue,32.6881,128.8419,12.2,47,75,9.26,JP,1670195900
22,nanortalik,60.1432,-45.2371,-3.09,68,95,3.42,GL,1670195900
23,mataura,-46.1927,168.8643,10.27,68,100,1.22,NZ,1670195901
24,tuatapere,-46.1333,167.6833,13.26,75,100,2.39,NZ,1670195901
25,college,64.8569,-147.8028,-8.84,85,75,0.0,US,1670195901
26,suoyarvi,62.0833,32.35,-5.53,95,100,2.98,RU,1670195902
27,ponta do sol,32.6667,-17.1,17.78,85,99,8.32,PT,1670195902
28,hermanus,-34.4187,19.2345,10.45,74,56,1.91,ZA,1670195808
29,saint-francois,46.4154,3.9054,3.69,93,100,1.03,FR,1670195903
30,arraial do cabo,-22.9661,-42.0278,22.86,88,100,13.18,BR,1670195700
31,bredasdorp,-34.5322,20.0403,13.95,71,86,1.53,ZA,1670195903
32,yellowknife,62.456,-114.3525,-20.71,71,75,4.12,CA,1670195735
33,kyaukse,21.6,96.1333,19.0,94,40,0.0,MM,1670195904
34,punta arenas,-53.15,-70.9167,8.06,61,40,12.35,CL,1670195904
35,jonkoping,57.7814,14.1562,1.88,100,100,3.6,SE,1670195905
36,caranavi,-15.8167,-67.55,21.01,68,100,1.37,BO,1670195905
37,vaini,-21.2,-175.2,26.09,89,75,4.63,TO,1670195905
38,acapulco,16.8634,-99.8901,28.9,74,0,3.6,MX,1670195906
39,passi,11.15,122.65,24.79,94,100,2.2,PH,1670195907
40,kahului,20.8947,-156.47,29.01,62,40,9.26,US,1670195907
41,albany,42.6001,-73.9662,-0.26,71,70,1.59,US,1670195826
42,ambon,-3.6954,128.1814,27.08,83,40,2.06,ID,1670195517
43,bluff,-46.6,168.3333,10.45,66,100,3.14,NZ,1670195895
44,dasoguz,41.8363,59.9666,-15.03,78,0,3.09,TM,1670195908
45,gainesville,29.6516,-82.3248,22.23,85,100,2.06,US,1670195878
46,erbaa,40.6689,36.5675,9.15,89,83,0.58,TR,1670195908
47,tasiilaq,65.6145,-37.6368,-1.91,65,6,1.68,GL,1670195909
48,birjand,32.8663,59.2211,1.26,51,0,2.06,IR,1670195909
49,atuona,-9.8,-139.0333,25.17,80,13,8.1,PF,1670195910
50,cape town,-33.9258,18.4232,17.23,65,0,6.69,ZA,1670195856
51,norman wells,65.282,-126.8329,-26.98,83,20,0.0,CA,1670195910
52,waki,34.0667,134.15,8.68,81,79,1.56,JP,1670195911
53,ancud,-41.8697,-73.8203,13.61,87,98,5.42,CL,1670195911
54,ilulissat,69.2167,-51.1,2.01,64,100,3.6,GL,1670195911
